X,Y,Z
19,45,53
19,45,75
19,47,50
19,47,78
19,48,49
19,48,79
19,49,48
19,49,80
19,50,47
19,50,81
19,53,83
19,75,45
19,78,47
19,78,81
19,79,48
19,79,80
19,80,49
19,80,79
19,81,50
19,81,78
19,83,53
19,83,75
20,41,58
20,41,70
20,42,55
20,42,73
20,43,53
20,43,75
20,44,51
20,44,77
20,45,50
20,45,78
20,50,45
20,50,83
20,51,44
20,51,84
20,53,43
20,53,85
20,55,42
20,55,86
20,58,41
20,58,87
20,70,41
20,70,87
20,73,42
20,73,86
20,75,43
20,75,85
20,77,44
20,77,84
20,78,45
20,78,83
20,83,50
20,83,78
20,84,51
20,84,77
20,85,53
20,85,75
20,86,55
20,86,73
20,87,58
20,87,70
21,39,58
21,39,59
21,39,69
21,39,70
21,40,55
21,40,73
21,41,53
21,41,75
21,42,51
21,42,77
21,44,48
21,44,80
21,45,47
21,45,81
21,46,46
21,46,82
21,47,45
21,47,83
21,48,44
21,48,84
21,51,42
21,51,86
21,53,41
21,53,87
21,55,40
21,55,88
21,58,39
21,58,89
21,59,39
21,59,89
21,69,39
21,69,89
21,70,39
21,70,89
21,73,40
21,73,88
21,75,41
21,75,87
21,77,42
21,77,86
21,80,44
21,80,84
21,81,45
21,81,83
21,82,46
21,82,82
21,83,47
21,83,81
21,84,48
21,84,80
21,86,51
21,86,77
21,87,53
21,87,75
21,88,55
21,88,73
21,89,58
21,89,59
21,89,69
21,89,70
22,37,60
22,37,61
22,37,62
22,37,63
22,37,64
22,37,65
22,37,66
22,37,67
22,37,68
22,38,56
22,38,72
22,39,53
22,39,75
22,40,51
22,40,77
22,42,48
22,42,80
22,43,47
22,43,81
22,47,43
22,47,85
22,48,42
22,48,86
22,51,40
22,51,88
22,53,39
22,53,89
22,56,38
22,56,90
22,60,37
22,60,91
22,61,37
22,61,91
22,62,37
22,62,91
22,63,37
22,63,91
22,64,37
22,64,91
22,65,37
22,65,91
22,66,37
22,66,91
22,67,37
22,67,91
22,68,37
22,68,91
22,72,38
22,72,90
22,75,39
22,75,89
22,77,40
22,77,88
22,80,42
22,80,86
22,81,43
22,81,85
22,85,47
22,85,81
22,86,48
22,86,80
22,88,51
22,88,77
22,89,53
22,89,75
22,90,56
22,90,72
22,91,60
22,91,61
22,91,62
22,91,63
22,91,64
22,91,65
22,91,66
22,91,67
22,91,68
23,36,58
23,36,70
23,37,54
23,37,55
23,37,73
23,37,74
23,38,52
23,38,76
23,39,50
23,39,78
23,41,47
23,41,81
23,47,41
23,47,87
23,50,39
23,50,89
23,52,38
23,52,90
23,54,37
23,54,91
23,55,37
23,55,91
23,58,36
23,58,92
23,70,36
23,70,92
23,73,37
23,73,91
23,74,37
23,74,91
23,76,38
23,76,90
23,78,39
23,78,89
23,81,41
23,81,87
23,87,47
23,87,81
23,89,50
23,89,78
23,90,52
23,90,76
23,91,54
23,91,55
23,91,73
23,91,74
23,92,58
23,92,70
24,34,61
24,34,62
24,34,63
24,34,64
24,34,65
24,34,66
24,34,67
24,35,56
24,35,72
24,36,53
24,36,75
24,37,51
24,37,77
24,38,49
24,38,79
24,40,46
24,40,82
24,46,40
24,46,88
24,49,38
24,49,90
24,51,37
24,51,91
24,53,36
24,53,92
24,56,35
24,56,93
24,61,34
24,61,94
24,62,34
24,62,94
24,63,34
24,63,94
24,64,34
